license_nbr,lic_status,business_name,business_name2,building,street_name,city,state,zip,swc_type,swc_sq_ft,swc_tables,swc_chairs,dohmh,lat,long,community_district,city_council_district,cd_url,app_id,app_swc_type,app_sq_ft,app_tables,app_chairs,app_status,app_status_date,expiration_date,app_too_date,submit_date,intake,intake_dd,dpqa,send_package_dd,cp,cp_dd,cb,cb_dd,hearing,hearing_dd,hearing_public,hearing_public_dd,cc,cc_dd,moo,moo_dd,issuance,issuance_dd,borough
1188827-DCA,Inactive,"POINT JUDITH, LLC",NA,96,2ND AVE,NEW YORK,NY,10003,Unenclosed,146,8,16,40935628,40.726998761958995,-73.98858456282818,103,2,http://www.nyc.gov/manhattancb3,17407-2019-RSWC,Unenclosed,146,8,16,Application Review Completed,2019-09-18T00:00:00Z,2021-04-15T00:00:00Z,NA,2019-04-10T00:00:00Z,Ready For Review,2019-04-10T00:00:00Z,Approved,2019-04-12T00:00:00Z,NA,NA,Review Period Expired,2019-06-04T00:00:00Z,Waived,2019-06-04T00:00:00Z,NA,NA,Review Period Expired,2019-06-25T00:00:00Z,Approved,2019-09-18T00:00:00Z,Issued,2019-09-18T00:00:00Z,Manhattan
2089176-DCA,Inactive,IVANKA CATERING LLC,NA,200,7TH AVE,NEW YORK,NY,10011,Unenclosed,270,11,22,50094711,40.743358004324634,-73.99647781213989,104,3,http://www.nyc.gov/mcb4,9206-2019-ASWC,Unenclosed,270,11,22,Application Review Completed,2019-10-16T00:00:00Z,2020-09-15T00:00:00Z,NA,2019-08-02T00:00:00Z,Ready For Review,2019-08-02T00:00:00Z,Approved,2019-08-06T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approved,2019-10-16T00:00:00Z,Issued,2019-10-16T00:00:00Z,Manhattan
2068868-DCA,Active,ELSALAM ENTERPRISES INC,THE HALAL GUYS,720,AMSTERDAM AVE,NEW YORK,NY,10025,Unenclosed,130,2,8,50017823,40.793599607001795,-73.97093446622202,107,6,http://www.nyc.gov/mcb7,2357-2018-ASWC,Unenclosed,130,2,8,Application Review Completed,2018-08-13T00:00:00Z,2020-12-15T00:00:00Z,NA,2018-02-12T00:00:00Z,Ready For Review,2018-02-13T00:00:00Z,Approved,2018-02-13T00:00:00Z,NA,NA,Review Period Expired,2018-04-04T00:00:00Z,Recommendation Issued,2018-04-04T00:00:00Z,SWC Public Hearing,2018-04-04T00:00:00Z,Review Period Expired,2018-05-01T00:00:00Z,Approved,2018-08-13T00:00:00Z,Issued,2018-08-13T00:00:00Z,Manhattan
2072346-DCA,Inactive,UPNORTH BURGER LLC,HERO'S CERTIFIED BURGERS,453,E 78TH ST,NEW YORK,NY,10075,Unenclosed,161,10,18,50078075,40.770924328861334,-73.95156430888119,108,5,http://www.cb8m.com/,10565-2018-ASWC,Unenclosed,161,10,18,Application Review Completed,2018-11-29T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-05-22T00:00:00Z,Ready For Review,2018-05-22T00:00:00Z,Approved,2018-05-22T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approved,2018-11-29T00:00:00Z,Issued,2018-11-29T00:00:00Z,NA
1125981-DCA,Active,RENOLTA LLC,NICE- MATIN,201,W 79TH ST,NEW YORK,NY,10024,Unenclosed,820,24,68,40922958,40.78351163325354,-73.97850747454505,107,6,http://www.nyc.gov/mcb7,16372-2019-RSWC,Unenclosed,820,24,68,Application Review Completed,2019-09-03T00:00:00Z,2021-04-15T00:00:00Z,NA,2019-04-01T00:00:00Z,Ready For Review,2019-04-01T00:00:00Z,Approved,2019-04-03T00:00:00Z,NA,NA,Review Period Expired,2019-05-21T00:00:00Z,Waived,2019-05-21T00:00:00Z,NA,NA,Review Period Expired,2019-06-11T00:00:00Z,NA,NA,Issued,2019-09-03T00:00:00Z,Manhattan
1360728-DCA,Inactive,"MUSSELS & MORE, LTD.",NA,510,80TH ST,BROOKLYN,NY,11209,Unenclosed,432,17,34,41498611,40.62549784476221,-74.02388768886107,310,43,http://www.bkcb10.org/,7253-2017-RSWC,Unenclosed,432,17,34,Application Review Completed,2017-07-18T00:00:00Z,2018-12-15T00:00:00Z,NA,2017-02-13T00:00:00Z,Ready For Review,2017-02-13T00:00:00Z,Approved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Issued,2017-07-18T00:00:00Z,Brooklyn
2092751-DCA,Active,PIATTO LLC,NA,1-50,50TH AVE,LONG ISLAND CITY,NY,11101,Unenclosed,336,9,18,50065229,40.74364166035955,-73.95887755839249,402,26,http://www.cb2queens.org/,11101-2019-ASWC,Unenclosed,336,9,18,Application Review Completed,2020-01-30T00:00:00Z,2021-04-15T00:00:00Z,NA,2019-09-19T00:00:00Z,Ready For Review,2019-09-19T00:00:00Z,Approved,2019-09-23T00:00:00Z,NA,NA,Review Period Expired,2019-11-20T00:00:00Z,Recommendation Issued,2019-11-20T00:00:00Z,SWC Public Hearing,2019-11-06T00:00:00Z,Review Period Expired,2019-12-27T00:00:00Z,Approved,2020-01-30T00:00:00Z,Issued,2020-01-30T00:00:00Z,Queens
2009643-DCA,Inactive,YARDBIRD LLC,MAIDEN LANE,162,AVENUE B,NEW YORK,NY,10009,Unenclosed,152,10,20,50000197,40.7270716731109,-73.9798497829517,103,2,http://www.nyc.gov/manhattancb3,20794-2019-RSWC,Unenclosed,152,10,20,Application Review Completed,2019-08-21T00:00:00Z,2020-09-15T00:00:00Z,NA,2019-05-24T00:00:00Z,Ready For Review,2019-05-24T00:00:00Z,Approved,NA,Proceed,2019-08-21T00:00:00Z,Review Period Expired,2019-08-21T00:00:00Z,Waived,2019-08-21T00:00:00Z,NA,NA,Approved,2019-08-21T00:00:00Z,Approved,2019-08-21T00:00:00Z,Issued,2019-08-21T00:00:00Z,Manhattan
1145629-DCA,Active,"GRAND ENDEAVORS, INC.",CLEM'S,264,GRAND ST,BROOKLYN,NY,11211,Unenclosed,264,5,20,40963082,40.71319671691326,-73.95857891079581,301,34,http://www.nyc.gov/brooklyncb1,25687-2019-RSWC,Unenclosed,264,5,20,Application Review Completed,2020-01-15T00:00:00Z,2021-09-15T00:00:00Z,NA,2019-08-13T00:00:00Z,Ready For Review,2019-08-14T00:00:00Z,Approved,2019-08-14T00:00:00Z,NA,NA,Review Period Expired,2019-10-02T00:00:00Z,Waived,2019-10-02T00:00:00Z,NA,NA,Review Period Expired,2019-10-23T00:00:00Z,Approved,2020-01-15T00:00:00Z,Issued,2020-01-15T00:00:00Z,Brooklyn
2019200-DCA,Active,"002 MERCURY TACOS, LLC",OTTO'S TACOS,131,7TH AVE S,NEW YORK,NY,10014,Unenclosed,200,8,25,50016586,40.73449523339292,-74.00217942469635,102,3,http://www.nyc.gov/manhattancb2,1093-2020-RSWC,Unenclosed,200,8,25,Application Review Completed,2020-02-10T00:00:00Z,2021-12-15T00:00:00Z,NA,2020-01-16T00:00:00Z,Ready For Review,2020-01-16T00:00:00Z,Approved,NA,Proceed,2020-02-10T00:00:00Z,Review Period Expired,2020-02-10T00:00:00Z,Waived,2020-02-10T00:00:00Z,NA,NA,Approved,2020-02-10T00:00:00Z,Approved,2020-02-10T00:00:00Z,Issued,2020-02-10T00:00:00Z,Manhattan
1150943-DCA,Inactive,GROTTA AZZURRA INN INC.,NA,177,MULBERRY ST,NEW YORK,NY,10013,Unenclosed,326,20,40,40987470,40.72032403744633,-73.9969840866981,102,1,http://www.nyc.gov/manhattancb2,12245-2018-RSWC,Unenclosed,326,20,40,Application Review Completed,2019-02-05T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-09-05T00:00:00Z,Ready For Review,2018-09-05T00:00:00Z,Approved,2018-09-05T00:00:00Z,NA,NA,Review Period Expired,2018-10-24T00:00:00Z,Waived,2018-10-24T00:00:00Z,NA,NA,Review Period Expired,2018-11-14T00:00:00Z,NA,NA,Issued,2019-02-05T00:00:00Z,Manhattan
2054516-DCA,Inactive,AMSTERDAM AVE BAGELS INC,BAGELS & CO,172,W 79TH ST,NEW YORK,NY,10024,Unenclosed,207,12,28,50038038,40.782773162139144,-73.97778191489748,107,6,http://www.nyc.gov/mcb7,26983-2019-RSWC,Unenclosed,207,12,28,Pending Review,2020-06-05T00:00:00Z,2020-06-23T00:00:00Z,2020-06-23T00:00:00Z,2019-09-18T00:00:00Z,Ready For Review,2019-09-18T00:00:00Z,Issued Temp Op Letter,2019-09-19T00:00:00Z,Pending Review,2019-09-19T00:00:00Z,Recommend Approval,2019-11-08T00:00:00Z,Waived,2019-11-12T00:00:00Z,NA,NA,Review Period Expired,2019-12-03T00:00:00Z,Pending Review,NA,Pending Review,NA,Manhattan
2038956-DCA,Inactive,NJJMJ INC,DENINO'S PIZZERIA AND TAVERN,93,MACDOUGAL ST,NEW YORK,NY,10012,Unenclosed,98,5,10,50051328,40.72940647310473,-74.00115457391584,102,1,http://www.nyc.gov/manhattancb2,17873-2018-RSWC,Unenclosed,98,5,10,Application Review Completed,2019-04-11T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-10-03T00:00:00Z,Ready For Review,2018-10-03T00:00:00Z,Approved,2018-10-15T00:00:00Z,NA,NA,Recommend Approval,2018-11-29T00:00:00Z,Recommendation Issued,2018-11-29T00:00:00Z,SWC Public Hearing,2018-11-28T00:00:00Z,Review Period Expired,2018-12-20T00:00:00Z,Approved,2019-04-11T00:00:00Z,Issued,2019-04-11T00:00:00Z,Manhattan
1110042-DCA,Inactive,C & C FIRST AVE. CORP.,BAR COASTAL,1495,1ST AVE,NEW YORK,NY,10075,Enclosed,280,7,24,40746574,40.771885694060835,-73.95327491342482,108,5,http://www.cb8m.com/,8191-2018-RSWC,Enclosed,280,7,24,Pending Review,2019-06-11T00:00:00Z,2019-12-15T00:00:00Z,2019-12-15T00:00:00Z,2018-05-09T00:00:00Z,Ready For Review,2018-05-09T00:00:00Z,Issued Temp Op Letter,2018-05-09T00:00:00Z,Pending Review,2018-05-09T00:00:00Z,Pending Review,2018-05-09T00:00:00Z,Pending Review,NA,NA,NA,Pending Review,NA,Pending Review,NA,Pending Review,NA,NA
2011786-DCA,Inactive,"THE GUILD OF LIQUIDUS INTENT, LLC",NA,12,GRATTAN ST,BROOKLYN,NY,11206,Unenclosed,168,9,18,41511019,40.70527409262036,-73.93270909481,301,34,http://www.nyc.gov/brooklyncb1,26709-2018-RSWC,Unenclosed,168,9,18,Application Review Completed,2018-11-07T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-11-07T00:00:00Z,Ready For Review,2018-11-07T00:00:00Z,Approved,NA,Proceed,2018-11-07T00:00:00Z,Review Period Expired,2018-11-07T00:00:00Z,Waived,2018-11-07T00:00:00Z,NA,NA,Review Period Expired,2018-11-07T00:00:00Z,Waived,2018-11-07T00:00:00Z,Issued,2018-11-07T00:00:00Z,Brooklyn
2027033-DCA,Active,CERVECERIA HAVEMEYER LLC,CERVECERIA HAVEMEYER,149,HAVEMEYER ST,BROOKLYN,NY,11211,Unenclosed,236,7,14,50001401,40.711716849303315,-73.9573714564757,301,34,http://www.nyc.gov/brooklyncb1,25684-2019-RSWC,Unenclosed,236,7,14,Application Review Completed,2019-08-13T00:00:00Z,2021-09-15T00:00:00Z,NA,2019-08-13T00:00:00Z,Ready For Review,2019-08-13T00:00:00Z,Approved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Issued,2019-08-13T00:00:00Z,Brooklyn
2025209-DCA,Active,"OSO HAMILTON HEIGHTS, LLC",NA,1616,AMSTERDAM AVE,NEW YORK,NY,10031,Unenclosed,180,9,18,50035069,40.82202513559706,-73.95026254129594,109,7,http://www.cb9m.org,27934-2019-RSWC,Unenclosed,180,9,18,Application Review Completed,2019-10-01T00:00:00Z,2021-09-15T00:00:00Z,2019-10-26T00:00:00Z,2019-09-26T00:00:00Z,Ready For Review,2019-09-26T00:00:00Z,Approved,NA,Proceed,2019-10-01T00:00:00Z,Review Period Expired,2019-10-01T00:00:00Z,Waived,2019-10-01T00:00:00Z,NA,NA,Review Period Expired,2019-10-01T00:00:00Z,Waived,2019-10-01T00:00:00Z,Issued,2019-10-01T00:00:00Z,Manhattan
2021585-DCA,Active,JACH RESTAURANT CORP,NA,219,DYCKMAN ST,NEW YORK,NY,10034,Unenclosed,223,10,20,41653831,40.86599406605034,-73.9271775143883,112,10,http://www.nyc.gov/html/mancb12/html/home/home.shtml,18791-2019-RSWC,Unenclosed,223,10,20,Application Review Completed,2019-06-25T00:00:00Z,2021-04-15T00:00:00Z,NA,2019-04-26T00:00:00Z,Ready For Review,2019-04-26T00:00:00Z,Approved,NA,Proceed,2019-06-25T00:00:00Z,Recommend Approval,2019-06-25T00:00:00Z,Recommendation Issued,2019-06-25T00:00:00Z,NA,NA,NA,NA,Approved,2019-06-25T00:00:00Z,Issued,2019-06-25T00:00:00Z,Manhattan
2010250-DCA,Active,SEVEN A CAFE INC.,MISS LILY'S 7A,109,AVENUE A,NEW YORK,NY,10009,Unenclosed,229,10,20,40381720,40.72607319817032,-73.98375018486696,103,2,http://www.nyc.gov/manhattancb3,348-2020-RSWC,Unenclosed,229,10,20,Pending Review,2020-01-10T00:00:00Z,2020-04-09T00:00:00Z,2020-04-09T00:00:00Z,2020-01-09T00:00:00Z,Ready For Review,2020-01-09T00:00:00Z,Under Review,2020-01-10T00:00:00Z,Pending Review,2020-01-10T00:00:00Z,Review Period Expired,2020-03-06T00:00:00Z,Waived,2020-03-06T00:00:00Z,NA,NA,Review Period Expired,2020-03-27T00:00:00Z,Pending Review,NA,Pending Review,NA,Manhattan
1076713-DCA,Inactive,I MALATESTA TRATTORIA INC.,MALATESTA TRATTORIA,649,WASHINGTON ST,NEW YORK,NY,10014,Unenclosed,333,18,35,40634937,40.73284259859286,-74.00849738058419,102,3,http://www.nyc.gov/manhattancb2,3070-2013-RSWC,Unenclosed,333,18,35,Pending Review,2020-06-17T00:00:00Z,2020-09-25T00:00:00Z,2020-09-25T00:00:00Z,2018-11-16T00:00:00Z,Ready For Review,2013-11-22T00:00:00Z,Issued Temp Op Letter,2016-06-09T00:00:00Z,Pending Review,2013-11-22T00:00:00Z,Recommend Approval,2016-07-27T00:00:00Z,Recommendation Issued,2014-01-17T00:00:00Z,SWC Public Hearing,2016-07-27T00:00:00Z,Review Period Expired,2015-06-01T00:00:00Z,Pending Review,2015-06-01T00:00:00Z,Pending Review,NA,Manhattan
2082429-DCA,Active,"BANTER NOLITA, LLC",SONNYBOY,65,RIVINGTON ST,NEW YORK,NY,10002,Unenclosed,155,5,10,50086540,40.72050755302023,-73.99013331864931,103,1,http://www.nyc.gov/manhattancb3,18316-2018-ASWC,Unenclosed,155,5,10,Application Review Completed,2019-05-06T00:00:00Z,2021-09-15T00:00:00Z,NA,2018-12-18T00:00:00Z,Ready For Review,2018-12-18T00:00:00Z,Approved,2018-12-19T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,Review Period Expired,2019-03-14T00:00:00Z,Approved,2019-05-06T00:00:00Z,Issued,2019-05-06T00:00:00Z,Manhattan
1420812-DCA,Inactive,SIX LOUNGE LLC,HARLEM FOOD BAR,2100,FREDERICK DOUGLASS BLVD,NEW YORK,NY,10026,Unenclosed,261,11,22,41642375,40.802853031063144,-73.95650038621442,110,9,http://www.nyc.gov/html/mancb10/html/home/home.shtml,6680-2019-RSWC,Unenclosed,261,11,22,Pending Review,2020-02-24T00:00:00Z,2020-03-24T00:00:00Z,2020-03-24T00:00:00Z,2019-02-07T00:00:00Z,Ready For Review,2019-02-07T00:00:00Z,Issued Temp Op Letter,2019-02-07T00:00:00Z,Pending Review,2019-02-07T00:00:00Z,Review Period Expired,2019-03-27T00:00:00Z,Waived,2019-03-27T00:00:00Z,NA,NA,Review Period Expired,2019-04-17T00:00:00Z,Pending Review,NA,Pending Review,NA,Manhattan
1346116-DCA,Inactive,"TRES DE MEXICO, LLC",MESA COYOACAN,372,GRAHAM AVE,BROOKLYN,NY,11211,Unenclosed,75,4,8,41405205,40.715526536430225,-73.94440440995498,301,34,http://www.nyc.gov/brooklyncb1,12651-2018-RSWC,Unenclosed,75,4,8,Application Review Completed,2019-06-22T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-09-11T00:00:00Z,Ready For Review,2018-09-11T00:00:00Z,Approved,2018-09-12T00:00:00Z,NA,NA,Review Period Expired,2018-11-01T00:00:00Z,Waived,2018-11-01T00:00:00Z,NA,NA,Review Period Expired,2018-11-22T00:00:00Z,Approved,2019-06-22T00:00:00Z,Issued,2019-06-22T00:00:00Z,Brooklyn
2021587-DCA,Active,PQ EAST 77TH INC,LE PAIN QUOTIDIEN,252,E 77TH ST,NEW YORK,NY,10075,Unenclosed,225,11,25,41118091,40.772051734456646,-73.95674795788678,108,4,http://www.cb8m.com/,16316-2019-RSWC,Unenclosed,225,11,25,Application Review Completed,2019-04-04T00:00:00Z,2021-04-15T00:00:00Z,NA,2019-04-01T00:00:00Z,Ready For Review,2019-04-01T00:00:00Z,Approved,NA,Proceed,2019-04-04T00:00:00Z,Recommend Approval,2019-04-04T00:00:00Z,Recommendation Issued,2019-04-04T00:00:00Z,NA,NA,NA,NA,Approved,2019-04-04T00:00:00Z,Issued,2019-04-04T00:00:00Z,NA
1382366-DCA,Inactive,SUD123 INCORPORATED,CIAO,178,MULBERRY ST,NEW YORK,NY,10012,Unenclosed,171,9,19,41561855,40.72066438004579,-73.99670989596011,102,1,http://www.nyc.gov/manhattancb2,26411-2019-RSWC,Unenclosed,171,9,19,Pending Review,2020-02-19T00:00:00Z,2020-03-19T00:00:00Z,2020-03-19T00:00:00Z,2019-09-11T00:00:00Z,Ready For Review,2019-09-11T00:00:00Z,Issued Temp Op Letter,2019-09-12T00:00:00Z,Pending Review,2019-09-12T00:00:00Z,Pending Review,2019-09-12T00:00:00Z,Pending Review,NA,SWC Public Hearing,2019-10-30T00:00:00Z,Pending Review,NA,Pending Review,NA,Pending Review,NA,Manhattan
2028248-DCA,Inactive,BILTMORE GARAGE RESTAURANT ASSOCIATES LLC,MEL'S BURGER BAR,1450,2ND AVE,NEW YORK,NY,10021,Unenclosed,188,9,18,50037777,40.77099765829954,-73.95649231137126,108,5,http://www.cb8m.com/,2854-2020-RSWC,Unenclosed,188,9,18,Pending Review,2020-02-07T00:00:00Z,2020-05-07T00:00:00Z,2020-05-07T00:00:00Z,2020-02-07T00:00:00Z,Ready For Review,2020-02-07T00:00:00Z,Issued Temp Op Letter,2020-02-07T00:00:00Z,Pending Review,2020-02-07T00:00:00Z,Pending Review,2020-02-07T00:00:00Z,Pending Review,NA,SWC Public Hearing,2020-03-25T00:00:00Z,Pending Review,NA,Pending Review,NA,Pending Review,NA,Manhattan
2086430-DCA,Active,NOGLU NEW YORK LLC,NA,1266,MADISON AVE,NEW YORK,NY,10128,Small Unenclosed,36,2,4,50043343,40.78373064850431,-73.9569064767738,108,4,http://www.cb8m.com/,3837-2019-ASWC,Small Unenclosed,36,2,4,Application Review Completed,2019-07-29T00:00:00Z,2021-12-15T00:00:00Z,NA,2019-04-05T00:00:00Z,Ready For Review,2019-04-05T00:00:00Z,Approved,2019-04-05T00:00:00Z,NA,NA,Review Period Expired,2019-05-29T00:00:00Z,Recommendation Issued,2019-05-29T00:00:00Z,SWC Public Hearing,2019-05-22T00:00:00Z,Review Period Expired,2019-06-19T00:00:00Z,NA,NA,Issued,2019-07-29T00:00:00Z,Manhattan
